Isotope;Activity concentration for exempt material (kBq/kg);Activity limit for an exempt consignment (Bq) ;A1 [TBq];A2 [TBq];Transport Security Threshold [TBq];D-Value [TBq];Desintegration [Years]
Rb-86;100;100000;0,5;0,5;1500;0,7;0,050924025
Rb-87;10000;10000000;UL;UL;UL;UL;#N/A
Re-184;10;1000000;1;1;3000;0,08;#N/A
Re-184m;100;1000000;3;1;3000;0,07;#N/A
Re-186;1000;1000000;2;0,6;1800;4;0,010349076
Re-187;1000000;1000000000;UL;UL;UL;UL;#N/A
Re-188;100;100000;0,4;0,4;1200;1;0,001939311
Re-189;100;1000000;3;0,6;1800;1;0,000273791
Rh-101;100;10000000;4;3;9000;0,3;#N/A
Rh-102;10;1000000;0,5;0,5;1500;0,03;#N/A
Rh-102m;100;1000000;2;2;6000;0,1;#N/A
Rh-103m;10000;100000000;40;40;120000;900;#N/A
Rh-105;100;10000000;10;0,8;2400;0,9;#N/A
Rh-99;10;1000000;2;2;6000;0,1;#N/A
Rn-222;10;100000000;0,3;0,004;12;0,04;#N/A
Ru-103;100;1000000;2;2;6000;0,1;0,107597536
Ru-105;10;1000000;1;0,6;1800;0,08;#N/A
Ru-106;100;100000;0,2;0,2;3;0,3;1,01
Ru-97;100;10000000;5;5;15000;0,3;#N/A
S-35;100000;100000000;40;3;9000;60;0,239288159
Sb-122;100;10000;0,4;0,4;1200;0,1;0,007392197
Sb-124;10;1000000;0,6;0,6;1800;0,04;0,164818617
Sb-125;100;1000000;2;1;3000;0,2;2,77
Sb-126;10;100000;0,4;0,4;1200;0,02;#N/A
Sc-44;10;100000;0,5;0,5;1500;0,03;#N/A
Sc-46;10;1000000;0,5;0,5;1500;0,03;0,229431896
Sc-47;100;1000000;10;0,7;2100;0,7;0,009144
Sc-48;10;100000;0,3;0,3;900;0,02;#N/A
Se-75;100;1000000;3;3;2;0,2;0,328542094
Se-79;10000;10000000;40;2;6000;200;#N/A
Si-31;1000;1000000;0,6;0,6;1800;10;#N/A
Si-32;1000;1000000;40;0,5;1500;7;#N/A
Sm-145;100;10000000;10;10;30000;4;0,9315
Sm-147;10;10000;UL;UL;UL;UL;1,0622E+11
Sm-151;10000;100000000;40;10;30000;500;88,8
Sm-153;100;1000000;9;0,6;1800;2;0,005338809
Sn-113;1000;10000000;4;2;6000;0,3;0,314852841
Sn-117m;100;1000000;7;0,4;1200;0,5;#N/A
